Cut sets,BE1,BE10,BE11,BE12,BE2,BE3,BE4,BE5,BE6,BE7,BE8,BE9,T,N
72,0,0,0,0,0,1,0,0,1,0,0,0,0,26
73,0,0,0,0,0,1,0,0,1,0,0,1,0,23
74,0,0,0,0,0,1,0,0,1,0,1,0,0,27
75,0,0,0,0,0,1,0,0,1,0,1,1,0,30
76,0,0,0,0,0,1,0,0,1,1,0,0,0,19
77,0,0,0,0,0,1,0,0,1,1,0,1,0,32
78,0,0,0,0,0,1,0,0,1,1,1,0,0,24
79,0,0,0,0,0,1,0,0,1,1,1,1,0,25
80,0,0,0,0,0,1,0,1,0,0,0,0,0,30
81,0,0,0,0,0,1,0,1,0,0,0,1,0,18
82,0,0,0,0,0,1,0,1,0,0,1,0,0,23
83,0,0,0,0,0,1,0,1,0,0,1,1,0,21
84,0,0,0,0,0,1,0,1,0,1,0,0,0,23
85,0,0,0,0,0,1,0,1,0,1,0,1,0,27
86,0,0,0,0,0,1,0,1,0,1,1,0,0,21
87,0,0,0,0,0,1,0,1,0,1,1,1,0,17
88,0,0,0,0,0,1,0,1,1,0,0,0,0,15
89,0,0,0,0,0,1,0,1,1,0,0,1,0,24
90,0,0,0,0,0,1,0,1,1,0,1,0,0,30
91,0,0,0,0,0,1,0,1,1,0,1,1,0,35
92,0,0,0,0,0,1,0,1,1,1,0,0,0,27
93,0,0,0,0,0,1,0,1,1,1,0,1,0,23
94,0,0,0,0,0,1,0,1,1,1,1,0,0,25
95,0,0,0,0,0,1,0,1,1,1,1,1,0,17
96,0,0,0,0,0,1,1,0,0,0,0,0,0,22
97,0,0,0,0,0,1,1,0,0,0,0,1,0,26
98,0,0,0,0,0,1,1,0,0,0,1,0,0,21
99,0,0,0,0,0,1,1,0,0,0,1,1,0,23
100,0,0,0,0,0,1,1,0,0,1,0,0,0,21
101,0,0,0,0,0,1,1,0,0,1,0,1,0,22
102,0,0,0,0,0,1,1,0,0,1,1,0,0,19
103,0,0,0,0,0,1,1,0,0,1,1,1,0,30
104,0,0,0,0,0,1,1,0,1,0,0,0,0,27
105,0,0,0,0,0,1,1,0,1,0,0,1,0,22
106,0,0,0,0,0,1,1,0,1,0,1,0,0,26
107,0,0,0,0,0,1,1,0,1,0,1,1,0,28
108,0,0,0,0,0,1,1,0,1,1,0,0,0,21
109,0,0,0,0,0,1,1,0,1,1,0,1,0,21
110,0,0,0,0,0,1,1,0,1,1,1,0,0,19
111,0,0,0,0,0,1,1,0,1,1,1,1,0,29
112,0,0,0,0,0,1,1,1,0,0,0,0,0,14
113,0,0,0,0,0,1,1,1,0,0,0,1,0,21
114,0,0,0,0,0,1,1,1,0,0,1,0,0,27
115,0,0,0,0,0,1,1,1,0,0,1,1,0,21
116,0,0,0,0,0,1,1,1,0,1,0,0,0,23
117,0,0,0,0,0,1,1,1,0,1,0,1,0,21
118,0,0,0,0,0,1,1,1,0,1,1,0,0,22
119,0,0,0,0,0,1,1,1,0,1,1,1,0,26
120,0,0,0,0,0,1,1,1,1,0,0,0,0,17
121,0,0,0,0,0,1,1,1,1,0,0,1,0,30
122,0,0,0,0,0,1,1,1,1,0,1,0,0,17
123,0,0,0,0,0,1,1,1,1,0,1,1,0,23
124,0,0,0,0,0,1,1,1,1,1,0,0,0,17
125,0,0,0,0,0,1,1,1,1,1,0,1,0,17
126,0,0,0,0,0,1,1,1,1,1,1,0,0,17
127,0,0,0,0,0,1,1,1,1,1,1,1,0,29
128,0,0,0,0,1,0,0,0,0,0,0,0,0,26
129,0,0,0,0,1,0,0,0,0,0,0,1,0,28
130,0,0,0,0,1,0,0,0,0,0,1,0,0,16
131,0,0,0,0,1,0,0,0,0,0,1,1,0,31
132,0,0,0,0,1,0,0,0,0,1,0,0,0,28
133,0,0,0,0,1,0,0,0,0,1,0,1,0,26
134,0,0,0,0,1,0,0,0,0,1,1,0,0,23
135,0,0,0,0,1,0,0,0,0,1,1,1,0,27
136,0,0,0,0,1,0,0,0,1,0,0,0,0,22
137,0,0,0,0,1,0,0,0,1,0,0,1,0,32
138,0,0,0,0,1,0,0,0,1,0,1,0,0,26
139,0,0,0,0,1,0,0,0,1,0,1,1,0,24
140,0,0,0,0,1,0,0,0,1,1,0,0,0,34
141,0,0,0,0,1,0,0,0,1,1,0,1,0,20
142,0,0,0,0,1,0,0,0,1,1,1,0,0,19
143,0,0,0,0,1,0,0,0,1,1,1,1,0,26
144,0,0,0,0,1,0,0,1,0,0,0,0,0,31
145,0,0,0,0,1,0,0,1,0,0,0,1,0,26
146,0,0,0,0,1,0,0,1,0,0,1,0,0,25
147,0,0,0,0,1,0,0,1,0,0,1,1,0,18
148,0,0,0,0,1,0,0,1,0,1,0,0,0,16
149,0,0,0,0,1,0,0,1,0,1,0,1,0,27
150,0,0,0,0,1,0,0,1,0,1,1,0,0,32
151,0,0,0,0,1,0,0,1,0,1,1,1,0,23
152,0,0,0,0,1,0,0,1,1,0,0,0,0,27
153,0,0,0,0,1,0,0,1,1,0,0,1,0,27
154,0,0,0,0,1,0,0,1,1,0,1,0,0,25
155,0,0,0,0,1,0,0,1,1,0,1,1,0,23
156,0,0,0,0,1,0,0,1,1,1,0,0,0,20
157,0,0,0,0,1,0,0,1,1,1,0,1,0,26
158,0,0,0,0,1,0,0,1,1,1,1,0,0,17
159,0,0,0,0,1,0,0,1,1,1,1,1,0,35
160,0,0,0,0,1,0,1,0,0,0,0,0,0,16
161,0,0,0,0,1,0,1,0,0,0,0,1,0,27
162,0,0,0,0,1,0,1,0,0,0,1,0,0,22
163,0,0,0,0,1,0,1,0,0,0,1,1,0,22
164,0,0,0,0,1,0,1,0,0,1,0,0,0,27
165,0,0,0,0,1,0,1,0,0,1,0,1,0,31
166,0,0,0,0,1,0,1,0,0,1,1,0,0,27
167,0,0,0,0,1,0,1,0,0,1,1,1,0,24
168,0,0,0,0,1,0,1,0,1,0,0,0,0,26
169,0,0,0,0,1,0,1,0,1,0,0,1,0,20
170,0,0,0,0,1,0,1,0,1,0,1,0,0,32
171,0,0,0,0,1,0,1,0,1,0,1,1,0,20
172,0,0,0,0,1,0,1,0,1,1,0,0,0,25
173,0,0,0,0,1,0,1,0,1,1,0,1,0,21
174,0,0,0,0,1,0,1,0,1,1,1,0,0,27
175,0,0,0,0,1,0,1,0,1,1,1,1,0,25
176,0,0,0,0,1,0,1,1,0,0,0,0,1,35
177,0,0,0,0,1,0,1,1,0,0,0,1,1,28
178,0,0,0,0,1,0,1,1,0,0,1,0,1,23
179,0,0,0,0,1,0,1,1,0,0,1,1,1,26
180,0,0,0,0,1,0,1,1,0,1,0,0,1,32
181,0,0,0,0,1,0,1,1,0,1,0,1,1,25
182,0,0,0,0,1,0,1,1,0,1,1,0,1,29
183,0,0,0,0,1,0,1,1,0,1,1,1,1,21
184,0,0,0,0,1,0,1,1,1,0,0,0,1,23
185,0,0,0,0,1,0,1,1,1,0,0,1,1,24
186,0,0,0,0,1,0,1,1,1,0,1,0,1,24
187,0,0,0,0,1,0,1,1,1,0,1,1,1,23
188,0,0,0,0,1,0,1,1,1,1,0,0,1,23
189,0,0,0,0,1,0,1,1,1,1,0,1,1,32
190,0,0,0,0,1,0,1,1,1,1,1,0,1,21
191,0,0,0,0,1,0,1,1,1,1,1,1,1,42
192,0,0,0,0,1,1,0,0,0,0,0,0,0,33
193,0,0,0,0,1,1,0,0,0,0,0,1,0,26
194,0,0,0,0,1,1,0,0,0,0,1,0,0,26
195,0,0,0,0,1,1,0,0,0,0,1,1,0,27
196,0,0,0,0,1,1,0,0,0,1,0,0,0,26
197,0,0,0,0,1,1,0,0,0,1,0,1,0,32
198,0,0,0,0,1,1,0,0,0,1,1,0,0,22
199,0,0,0,0,1,1,0,0,0,1,1,1,0,36
200,0,0,0,0,1,1,0,0,1,0,0,0,0,28
201,0,0,0,0,1,1,0,0,1,0,0,1,0,28
202,0,0,0,0,1,1,0,0,1,0,1,0,0,27
203,0,0,0,0,1,1,0,0,1,0,1,1,0,27
204,0,0,0,0,1,1,0,0,1,1,0,0,0,18
205,0,0,0,0,1,1,0,0,1,1,0,1,0,20
206,0,0,0,0,1,1,0,0,1,1,1,0,0,18
207,0,0,0,0,1,1,0,0,1,1,1,1,0,20
208,0,0,0,0,1,1,0,1,0,0,0,0,1,20
209,0,0,0,0,1,1,0,1,0,0,0,1,1,23
210,0,0,0,0,1,1,0,1,0,0,1,0,1,20
211,0,0,0,0,1,1,0,1,0,0,1,1,1,21
212,0,0,0,0,1,1,0,1,0,1,0,0,1,30
213,0,0,0,0,1,1,0,1,0,1,0,1,1,26
214,0,0,0,0,1,1,0,1,0,1,1,0,1,22
215,0,0,0,0,1,1,0,1,0,1,1,1,1,28
216,0,0,0,0,1,1,0,1,1,0,0,0,1,30
217,0,0,0,0,1,1,0,1,1,0,0,1,1,32
218,0,0,0,0,1,1,0,1,1,0,1,0,1,31
219,0,0,0,0,1,1,0,1,1,0,1,1,1,30
220,0,0,0,0,1,1,0,1,1,1,0,0,1,20
221,0,0,0,0,1,1,0,1,1,1,0,1,1,33
222,0,0,0,0,1,1,0,1,1,1,1,0,1,16
223,0,0,0,0,1,1,0,1,1,1,1,1,1,20
224,0,0,0,0,1,1,1,0,0,0,0,0,0,22
225,0,0,0,0,1,1,1,0,0,0,0,1,0,20
226,0,0,0,0,1,1,1,0,0,0,1,0,0,40
227,0,0,0,0,1,1,1,0,0,0,1,1,0,31
228,0,0,0,0,1,1,1,0,0,1,0,0,0,28
229,0,0,0,0,1,1,1,0,0,1,0,1,0,23
230,0,0,0,0,1,1,1,0,0,1,1,0,0,22
231,0,0,0,0,1,1,1,0,0,1,1,1,0,18
232,0,0,0,0,1,1,1,0,1,0,0,0,0,37
233,0,0,0,0,1,1,1,0,1,0,0,1,0,31
234,0,0,0,0,1,1,1,0,1,0,1,0,0,22
235,0,0,0,0,1,1,1,0,1,0,1,1,0,27
236,0,0,0,0,1,1,1,0,1,1,0,0,0,23
237,0,0,0,0,1,1,1,0,1,1,0,1,0,25
238,0,0,0,0,1,1,1,0,1,1,1,0,0,24
239,0,0,0,0,1,1,1,0,1,1,1,1,0,25
240,0,0,0,0,1,1,1,1,0,0,0,0,1,16
241,0,0,0,0,1,1,1,1,0,0,0,1,1,31
242,0,0,0,0,1,1,1,1,0,0,1,0,1,21
243,0,0,0,0,1,1,1,1,0,0,1,1,1,29
244,0,0,0,0,1,1,1,1,0,1,0,0,1,29
245,0,0,0,0,1,1,1,1,0,1,0,1,1,19
246,0,0,0,0,1,1,1,1,0,1,1,0,1,20
247,0,0,0,0,1,1,1,1,0,1,1,1,1,24
248,0,0,0,0,1,1,1,1,1,0,0,0,1,27
249,0,0,0,0,1,1,1,1,1,0,0,1,1,29
250,0,0,0,0,1,1,1,1,1,0,1,0,1,29
251,0,0,0,0,1,1,1,1,1,0,1,1,1,17
252,0,0,0,0,1,1,1,1,1,1,0,0,1,21
253,0,0,0,0,1,1,1,1,1,1,0,1,1,25
254,0,0,0,0,1,1,1,1,1,1,1,0,1,21
255,0,0,0,0,1,1,1,1,1,1,1,1,1,21
256,0,0,0,1,0,0,0,0,0,0,0,0,1,27
257,0,0,0,1,0,0,0,0,0,0,0,1,1,22
258,0,0,0,1,0,0,0,0,0,0,1,0,1,16
259,0,0,0,1,0,0,0,0,0,0,1,1,1,31
260,0,0,0,1,0,0,0,0,0,1,0,0,1,27
261,0,0,0,1,0,0,0,0,0,1,0,1,1,20
262,0,0,0,1,0,0,0,0,0,1,1,0,1,24
263,0,0,0,1,0,0,0,0,0,1,1,1,1,20
264,0,0,0,1,0,0,0,0,1,0,0,0,1,38
265,0,0,0,1,0,0,0,0,1,0,0,1,1,15
266,0,0,0,1,0,0,0,0,1,0,1,0,1,22
267,0,0,0,1,0,0,0,0,1,0,1,1,1,30
268,0,0,0,1,0,0,0,0,1,1,0,0,1,24
269,0,0,0,1,0,0,0,0,1,1,0,1,1,33
270,0,0,0,1,0,0,0,0,1,1,1,0,1,18
271,0,0,0,1,0,0,0,0,1,1,1,1,1,23
272,0,0,0,1,0,0,0,1,0,0,0,0,1,15
273,0,0,0,1,0,0,0,1,0,0,0,1,1,17
274,0,0,0,1,0,0,0,1,0,0,1,0,1,26
275,0,0,0,1,0,0,0,1,0,0,1,1,1,18
276,0,0,0,1,0,0,0,1,0,1,0,0,1,20
277,0,0,0,1,0,0,0,1,0,1,0,1,1,23
278,0,0,0,1,0,0,0,1,0,1,1,0,1,20
279,0,0,0,1,0,0,0,1,0,1,1,1,1,28
280,0,0,0,1,0,0,0,1,1,0,0,0,1,18
281,0,0,0,1,0,0,0,1,1,0,0,1,1,19
282,0,0,0,1,0,0,0,1,1,0,1,0,1,21
283,0,0,0,1,0,0,0,1,1,0,1,1,1,28
284,0,0,0,1,0,0,0,1,1,1,0,0,1,27
285,0,0,0,1,0,0,0,1,1,1,0,1,1,23
286,0,0,0,1,0,0,0,1,1,1,1,0,1,16
287,0,0,0,1,0,0,0,1,1,1,1,1,1,26
288,0,0,0,1,0,0,1,0,0,0,0,0,1,24
289,0,0,0,1,0,0,1,0,0,0,0,1,1,22
290,0,0,0,1,0,0,1,0,0,0,1,0,1,25
291,0,0,0,1,0,0,1,0,0,0,1,1,1,20
292,0,0,0,1,0,0,1,0,0,1,0,0,1,24
293,0,0,0,1,0,0,1,0,0,1,0,1,1,11
294,0,0,0,1,0,0,1,0,0,1,1,0,1,23
295,0,0,0,1,0,0,1,0,0,1,1,1,1,32
296,0,0,0,1,0,0,1,0,1,0,0,0,1,27
297,0,0,0,1,0,0,1,0,1,0,0,1,1,26
298,0,0,0,1,0,0,1,0,1,0,1,0,1,28
299,0,0,0,1,0,0,1,0,1,0,1,1,1,25
300,0,0,0,1,0,0,1,0,1,1,0,0,1,28
301,0,0,0,1,0,0,1,0,1,1,0,1,1,24
302,0,0,0,1,0,0,1,0,1,1,1,0,1,21
303,0,0,0,1,0,0,1,0,1,1,1,1,1,22
304,0,0,0,1,0,0,1,1,0,0,0,0,1,28
305,0,0,0,1,0,0,1,1,0,0,0,1,1,28
306,0,0,0,1,0,0,1,1,0,0,1,0,1,25
307,0,0,0,1,0,0,1,1,0,0,1,1,1,27
308,0,0,0,1,0,0,1,1,0,1,0,0,1,31
309,0,0,0,1,0,0,1,1,0,1,0,1,1,35
310,0,0,0,1,0,0,1,1,0,1,1,0,1,40
311,0,0,0,1,0,0,1,1,0,1,1,1,1,27
312,0,0,0,1,0,0,1,1,1,0,0,0,1,27
313,0,0,0,1,0,0,1,1,1,0,0,1,1,25
314,0,0,0,1,0,0,1,1,1,0,1,0,1,25
315,0,0,0,1,0,0,1,1,1,0,1,1,1,28
316,0,0,0,1,0,0,1,1,1,1,0,0,1,35
317,0,0,0,1,0,0,1,1,1,1,0,1,1,19
318,0,0,0,1,0,0,1,1,1,1,1,0,1,27
319,0,0,0,1,0,0,1,1,1,1,1,1,1,24
320,0,0,0,1,0,1,0,0,0,0,0,0,1,28
321,0,0,0,1,0,1,0,0,0,0,0,1,1,23
322,0,0,0,1,0,1,0,0,0,0,1,0,1,19
323,0,0,0,1,0,1,0,0,0,0,1,1,1,18
324,0,0,0,1,0,1,0,0,0,1,0,0,1,29
325,0,0,0,1,0,1,0,0,0,1,0,1,1,24
326,0,0,0,1,0,1,0,0,0,1,1,0,1,23
327,0,0,0,1,0,1,0,0,0,1,1,1,1,22
328,0,0,0,1,0,1,0,0,1,0,0,0,1,17
329,0,0,0,1,0,1,0,0,1,0,0,1,1,22
330,0,0,0,1,0,1,0,0,1,0,1,0,1,22
331,0,0,0,1,0,1,0,0,1,0,1,1,1,27
332,0,0,0,1,0,1,0,0,1,1,0,0,1,17
333,0,0,0,1,0,1,0,0,1,1,0,1,1,28
334,0,0,0,1,0,1,0,0,1,1,1,0,1,25
335,0,0,0,1,0,1,0,0,1,1,1,1,1,22
336,0,0,0,1,0,1,0,1,0,0,0,0,1,31
337,0,0,0,1,0,1,0,1,0,0,0,1,1,16
338,0,0,0,1,0,1,0,1,0,0,1,0,1,19
339,0,0,0,1,0,1,0,1,0,0,1,1,1,21
340,0,0,0,1,0,1,0,1,0,1,0,0,1,26
341,0,0,0,1,0,1,0,1,0,1,0,1,1,20
342,0,0,0,1,0,1,0,1,0,1,1,0,1,18
343,0,0,0,1,0,1,0,1,0,1,1,1,1,18
344,0,0,0,1,0,1,0,1,1,0,0,0,1,23
345,0,0,0,1,0,1,0,1,1,0,0,1,1,13
346,0,0,0,1,0,1,0,1,1,0,1,0,1,21
347,0,0,0,1,0,1,0,1,1,0,1,1,1,30
348,0,0,0,1,0,1,0,1,1,1,0,0,1,29
349,0,0,0,1,0,1,0,1,1,1,0,1,1,18
350,0,0,0,1,0,1,0,1,1,1,1,0,1,23
351,0,0,0,1,0,1,0,1,1,1,1,1,1,23
352,0,0,0,1,0,1,1,0,0,0,0,0,1,16
353,0,0,0,1,0,1,1,0,0,0,0,1,1,25
354,0,0,0,1,0,1,1,0,0,0,1,0,1,27
355,0,0,0,1,0,1,1,0,0,0,1,1,1,17
356,0,0,0,1,0,1,1,0,0,1,0,0,1,20
357,0,0,0,1,0,1,1,0,0,1,0,1,1,20
358,0,0,0,1,0,1,1,0,0,1,1,0,1,33
359,0,0,0,1,0,1,1,0,0,1,1,1,1,32
360,0,0,0,1,0,1,1,0,1,0,0,0,1,22
361,0,0,0,1,0,1,1,0,1,0,0,1,1,23
362,0,0,0,1,0,1,1,0,1,0,1,0,1,27
363,0,0,0,1,0,1,1,0,1,0,1,1,1,28
364,0,0,0,1,0,1,1,0,1,1,0,0,1,23
365,0,0,0,1,0,1,1,0,1,1,0,1,1,27
366,0,0,0,1,0,1,1,0,1,1,1,0,1,27
367,0,0,0,1,0,1,1,0,1,1,1,1,1,22
368,0,0,0,1,0,1,1,1,0,0,0,0,1,27
369,0,0,0,1,0,1,1,1,0,0,0,1,1,23
370,0,0,0,1,0,1,1,1,0,0,1,0,1,33
371,0,0,0,1,0,1,1,1,0,0,1,1,1,23
372,0,0,0,1,0,1,1,1,0,1,0,0,1,17
373,0,0,0,1,0,1,1,1,0,1,0,1,1,28
374,0,0,0,1,0,1,1,1,0,1,1,0,1,22
375,0,0,0,1,0,1,1,1,0,1,1,1,1,19
376,0,0,0,1,0,1,1,1,1,0,0,0,1,29
377,0,0,0,1,0,1,1,1,1,0,0,1,1,28
378,0,0,0,1,0,1,1,1,1,0,1,0,1,19
379,0,0,0,1,0,1,1,1,1,0,1,1,1,26
380,0,0,0,1,0,1,1,1,1,1,0,0,1,28
381,0,0,0,1,0,1,1,1,1,1,0,1,1,25
382,0,0,0,1,0,1,1,1,1,1,1,0,1,24
383,0,0,0,1,0,1,1,1,1,1,1,1,1,26
384,0,0,0,1,1,0,0,0,0,0,0,0,1,19
385,0,0,0,1,1,0,0,0,0,0,0,1,1,24
386,0,0,0,1,1,0,0,0,0,0,1,0,1,29
387,0,0,0,1,1,0,0,0,0,0,1,1,1,20
388,0,0,0,1,1,0,0,0,0,1,0,0,1,23
389,0,0,0,1,1,0,0,0,0,1,0,1,1,22
390,0,0,0,1,1,0,0,0,0,1,1,0,1,19
391,0,0,0,1,1,0,0,0,0,1,1,1,1,25
392,0,0,0,1,1,0,0,0,1,0,0,0,1,30
393,0,0,0,1,1,0,0,0,1,0,0,1,1,33
394,0,0,0,1,1,0,0,0,1,0,1,0,1,24
395,0,0,0,1,1,0,0,0,1,0,1,1,1,27
396,0,0,0,1,1,0,0,0,1,1,0,0,1,14
397,0,0,0,1,1,0,0,0,1,1,0,1,1,23
398,0,0,0,1,1,0,0,0,1,1,1,0,1,24
399,0,0,0,1,1,0,0,0,1,1,1,1,1,20
400,0,0,0,1,1,0,0,1,0,0,0,0,1,34
401,0,0,0,1,1,0,0,1,0,0,0,1,1,20
402,0,0,0,1,1,0,0,1,0,0,1,0,1,23
403,0,0,0,1,1,0,0,1,0,0,1,1,1,19
404,0,0,0,1,1,0,0,1,0,1,0,0,1,24
405,0,0,0,1,1,0,0,1,0,1,0,1,1,28
406,0,0,0,1,1,0,0,1,0,1,1,0,1,29
407,0,0,0,1,1,0,0,1,0,1,1,1,1,38
408,0,0,0,1,1,0,0,1,1,0,0,0,1,30
409,0,0,0,1,1,0,0,1,1,0,0,1,1,26
410,0,0,0,1,1,0,0,1,1,0,1,0,1,32
411,0,0,0,1,1,0,0,1,1,0,1,1,1,43
412,0,0,0,1,1,0,0,1,1,1,0,0,1,24
413,0,0,0,1,1,0,0,1,1,1,0,1,1,18
414,0,0,0,1,1,0,0,1,1,1,1,0,1,30
415,0,0,0,1,1,0,0,1,1,1,1,1,1,21
416,0,0,0,1,1,0,1,0,0,0,0,0,1,33
417,0,0,0,1,1,0,1,0,0,0,0,1,1,27
418,0,0,0,1,1,0,1,0,0,0,1,0,1,24
419,0,0,0,1,1,0,1,0,0,0,1,1,1,27
420,0,0,0,1,1,0,1,0,0,1,0,0,1,18
421,0,0,0,1,1,0,1,0,0,1,0,1,1,38
422,0,0,0,1,1,0,1,0,0,1,1,0,1,23
423,0,0,0,1,1,0,1,0,0,1,1,1,1,28
424,0,0,0,1,1,0,1,0,1,0,0,0,1,23
425,0,0,0,1,1,0,1,0,1,0,0,1,1,29
426,0,0,0,1,1,0,1,0,1,0,1,0,1,33
427,0,0,0,1,1,0,1,0,1,0,1,1,1,24
428,0,0,0,1,1,0,1,0,1,1,0,0,1,16
429,0,0,0,1,1,0,1,0,1,1,0,1,1,24
430,0,0,0,1,1,0,1,0,1,1,1,0,1,18
431,0,0,0,1,1,0,1,0,1,1,1,1,1,27
432,0,0,0,1,1,0,1,1,0,0,0,0,1,33
433,0,0,0,1,1,0,1,1,0,0,0,1,1,18
434,0,0,0,1,1,0,1,1,0,0,1,0,1,24
435,0,0,0,1,1,0,1,1,0,0,1,1,1,27
436,0,0,0,1,1,0,1,1,0,1,0,0,1,19
437,0,0,0,1,1,0,1,1,0,1,0,1,1,23
438,0,0,0,1,1,0,1,1,0,1,1,0,1,19
439,0,0,0,1,1,0,1,1,0,1,1,1,1,17
440,0,0,0,1,1,0,1,1,1,0,0,0,1,23
441,0,0,0,1,1,0,1,1,1,0,0,1,1,30
442,0,0,0,1,1,0,1,1,1,0,1,0,1,23
443,0,0,0,1,1,0,1,1,1,0,1,1,1,23
444,0,0,0,1,1,0,1,1,1,1,0,0,1,21
445,0,0,0,1,1,0,1,1,1,1,0,1,1,20
446,0,0,0,1,1,0,1,1,1,1,1,0,1,23
447,0,0,0,1,1,0,1,1,1,1,1,1,1,25
448,0,0,0,1,1,1,0,0,0,0,0,0,1,29
449,0,0,0,1,1,1,0,0,0,0,0,1,1,24
450,0,0,0,1,1,1,0,0,0,0,1,0,1,27
451,0,0,0,1,1,1,0,0,0,0,1,1,1,28
452,0,0,0,1,1,1,0,0,0,1,0,0,1,21
453,0,0,0,1,1,1,0,0,0,1,0,1,1,17
454,0,0,0,1,1,1,0,0,0,1,1,0,1,25
455,0,0,0,1,1,1,0,0,0,1,1,1,1,27
456,0,0,0,1,1,1,0,0,1,0,0,0,1,29
457,0,0,0,1,1,1,0,0,1,0,0,1,1,23
458,0,0,0,1,1,1,0,0,1,0,1,0,1,26
459,0,0,0,1,1,1,0,0,1,0,1,1,1,22
460,0,0,0,1,1,1,0,0,1,1,0,0,1,26
461,0,0,0,1,1,1,0,0,1,1,0,1,1,31
